,heartrate,watts
1324,152,0.0
1325,151,0.0
1326,150,0.0
1327,149,0.0
1328,148,0.0
1329,147,0.0
1330,146,218.0
1331,146,323.0
1332,146,332.0
1333,146,237.0
1334,146,268.0
1335,145,251.0
1336,145,248.0
1337,144,230.0
1338,144,245.0
1339,143,231.0
1340,143,183.0
1341,144,232.0
1342,144,224.0
1343,144,225.0
1344,145,216.0
1345,145,219.0
1346,146,230.0
1347,146,218.0
1348,147,227.0
1349,146,214.0
1350,146,229.0
1351,147,251.0
1352,146,251.0
1353,146,251.0
1354,146,254.0
1355,146,234.0
1356,146,200.0
1357,145,243.0
1358,145,217.0
1359,145,222.0
1360,145,212.0
1361,145,218.0
1362,145,220.0
1363,145,233.0
1364,145,224.0
1365,145,224.0
1366,145,221.0
1367,145,220.0
1368,145,267.0
1369,145,275.0
1370,146,256.0
1371,145,231.0
1372,145,246.0
1373,145,241.0
1374,146,241.0
1375,146,245.0
1376,146,245.0
1377,146,258.0
1378,146,255.0
1379,147,259.0
1380,147,249.0
1381,147,246.0
1382,147,280.0
1383,147,239.0
1384,148,244.0
1385,148,248.0
1386,148,244.0
1387,148,236.0
1388,149,251.0
1389,149,240.0
1390,149,256.0
1391,149,257.0
1392,150,269.0
1393,150,254.0
1394,150,251.0
1395,150,254.0
1396,150,228.0
1397,150,251.0
1398,151,255.0
1399,151,231.0
1400,151,243.0
1401,151,274.0
1402,151,251.0
1403,151,261.0
1404,151,257.0
1405,151,261.0
1406,151,254.0
1407,151,254.0
1408,151,213.0
1409,151,237.0
1410,150,255.0
1411,150,237.0
1412,150,260.0
1413,149,252.0
1414,149,239.0
1415,150,221.0
1416,149,229.0
1417,150,240.0
1418,150,226.0
1419,150,240.0
1420,150,250.0
1421,150,243.0
1422,150,262.0
1423,150,252.0
1424,150,236.0
1425,149,249.0
1426,150,247.0
1427,150,227.0
1428,150,221.0
1429,149,239.0
1430,149,235.0
1431,149,233.0
1432,149,193.0
1433,149,265.0
1434,148,264.0
1435,148,242.0
1436,148,227.0
1437,148,232.0
1438,148,209.0
1439,149,222.0
1440,148,197.0
1441,148,239.0
1442,148,255.0
1443,147,228.0
1444,147,243.0
1445,148,255.0
1446,148,246.0
1447,148,248.0
1448,148,230.0
1449,149,229.0
1450,149,238.0
1451,149,251.0
1452,149,245.0
1453,149,268.0
1454,149,266.0
1455,149,258.0
1456,149,269.0
1457,149,245.0
1458,150,217.0
1459,150,235.0
1460,150,242.0
1461,150,276.0
1462,151,241.0
1463,151,235.0
1464,151,190.0
1465,150,233.0
1466,150,250.0
1467,151,203.0
1468,151,252.0
1469,151,253.0
1470,152,244.0
1471,152,234.0
1472,153,238.0
1473,153,246.0
1474,153,325.0
1475,153,237.0
1476,153,240.0
1477,153,237.0
1478,153,260.0
1479,153,239.0
1480,153,242.0
1481,153,249.0
1482,153,237.0
1483,153,212.0
1484,153,238.0
1485,153,222.0
1486,153,239.0
1487,153,187.0
1488,152,192.0
1489,152,214.0
1490,152,213.0
1491,151,224.0
1492,151,220.0
1493,150,217.0
1494,150,213.0
1495,150,222.0
1496,149,220.0
1497,149,217.0
1498,149,219.0
1499,149,234.0
1500,148,234.0
1501,148,239.0
1502,148,245.0
1503,149,223.0
1504,149,216.0
1505,149,216.0
1506,149,236.0
1507,149,221.0
1508,149,216.0
1509,148,225.0
1510,148,210.0
1511,148,238.0
1512,148,263.0
1513,148,235.0
1514,148,227.0
1515,148,223.0
1516,148,237.0
1517,148,242.0
1518,148,227.0
1519,148,242.0
1520,148,248.0
1521,148,212.0
1522,148,233.0
1523,148,239.0
1524,149,259.0
1525,149,230.0
1526,149,213.0
1527,149,236.0
1528,149,243.0
1529,150,248.0
1530,150,253.0
1531,150,264.0
1532,151,225.0
1533,151,217.0
1534,151,269.0
1535,151,240.0
1536,150,231.0
1537,150,238.0
1538,149,239.0
1539,149,234.0
1540,149,233.0
1541,149,251.0
1542,149,234.0
1543,149,240.0
1544,149,255.0
1545,150,255.0
1546,150,257.0
1547,150,240.0
1548,150,251.0
1549,150,238.0
1550,150,256.0
1551,150,249.0
1552,150,252.0
1553,150,237.0
1554,150,252.0
1555,149,264.0
1556,149,234.0
1557,149,251.0
1558,150,250.0
1559,150,239.0
1560,150,245.0
1561,151,251.0
1562,151,264.0
1563,151,256.0
1564,151,249.0
1565,151,246.0
1566,151,250.0
1567,151,242.0
1568,151,249.0
1569,151,256.0
1570,152,244.0
1571,152,265.0
1572,152,253.0
1573,152,247.0
1574,152,265.0
1575,152,253.0
1576,152,250.0
1577,152,258.0
1578,152,256.0
1579,152,262.0
1580,152,242.0
1581,152,226.0
1582,152,243.0
1583,152,236.0
1584,153,253.0
1585,153,291.0
1586,153,273.0
1587,154,262.0
1588,154,266.0
1589,154,254.0
1590,154,241.0
1591,154,245.0
1592,154,223.0
1593,154,238.0
1594,154,240.0
1595,154,224.0
1596,154,225.0
1597,155,223.0
1598,155,221.0
1599,155,225.0
1600,155,236.0
1601,155,227.0
1602,154,228.0
1603,154,230.0
1604,154,225.0
1605,153,241.0
1606,153,237.0
1607,152,244.0
1608,152,246.0
1609,152,240.0
1610,152,230.0
1611,152,249.0
1612,152,257.0
1613,152,233.0
1614,153,227.0
1615,152,228.0
1616,152,235.0
1617,152,228.0
1618,152,238.0
1619,152,240.0
1620,152,246.0
1621,153,234.0
1622,153,236.0
1623,152,230.0
1624,152,214.0
1625,152,223.0
1626,151,178.0
1627,151,186.0
1628,151,187.0
1629,151,187.0
1630,151,232.0
1631,151,265.0
1632,151,261.0
1633,151,245.0
1634,151,243.0
1635,151,253.0
1636,152,237.0
1637,152,224.0
1638,152,239.0
1639,151,220.0
1640,151,254.0
1641,151,275.0
1642,151,262.0
1643,151,251.0
1644,150,212.0
1645,150,237.0
1646,150,239.0
1647,150,245.0
1648,150,241.0
1649,150,233.0
1650,150,216.0
1651,150,246.0
1652,149,262.0
1653,149,243.0
1654,149,252.0
1655,149,244.0
1656,149,248.0
1657,149,195.0
1658,149,255.0
1659,150,228.0
1660,150,236.0
1661,150,251.0
1662,150,234.0
1663,150,238.0
